[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[    WB W|  B  B  |   WW W |   WW  B|  B BWW |  B  B  | B BBWW |      BW,(4,2)],0.79768866
[WBBWWBBB| B WB W |BWBBWBBW|WBWWWBBB|B BWWW  |WBWWBWB |W W WBB |BBBWWW W,(0,6)],0.99614495
[       W|        |    B   |     WB | W     B|    W  B|  W   B |   B  W ,(2,4)],0.09028998
[     B  |     WBW| WBB WW | B B   W|BWB WB W|WW  BWW |B    W B|      B ,(5,1)],0.6321746
[BB  WWB |   WB WB|WWWBWBBB|  WWW W | WW    B|  BWB  B| B W  WB|WB BB W ,(6,6)],0.996305
[BBWB  WB|BBWBWB B| BB BWBW| W W WBW|BW WBBBW|WBWWBWW |  B BWWW|WBWW WBB,(2,2)],0.99660504
[  WW W W|W  BBW  |  B  W B|B   BBW | B WW   | BB  WWB|W   W B |BWWWBBB ,(2,5)],0.91565764
[WWBB WWB|WWBW BBB|BWBWBBBW| BWBWBWB|WWWBWWW |BBBWBB W|BW BBWBW|WWBBW WW,(5,3)],0.99675494
[B W BBBW|BBWBWW  |WWB  BWW|WWBWBW B|  W BBW | BWBWWBB|WWBWBW  |BWBB BWW,(1,5)],0.99644005
[WBWWW  B|WWB BBWB|W     W | BBBWB W|BWWB BWB|  B    W| WB B W |WBB  WWB,(1,5)],0.99608505
[    WB  |BW WBB B|     W  |       B|WW W WBW|  W  W B|B W BW  |B  W  BB,(5,2)],0.6325687
[BWWW  WW|B   W BB|W   WB W| B B  BW| B BBWBB|BW WB WW| BWW B  |BWWW BWB,(0,2)],0.99509
[   B    |        |        |        |        |      W |       W|        ,(6,7)],0.023983754
[      W |  WBW BW|     WB |W  W BBB|       W|B       | B    W |  B     ,(2,6)],-0.010035
[WBW     |WW  BB B|  WW WWB|W  BWWBB|WW   W  |B B WBB | W B    |  B BBW ,(3,5)],0.99421996
[BWBW BBW|BWBBB BW|W  W BWW| WB WWBB|BW WBW  |WWBWW BB|  W BW W|BBW WBBB,(3,7)],0.9952651
[        |        |        |        |  W    B|        |        |        ,(4,7)],0.12680441
[WWBWBWBW|BBB WBWW|BBWWW WB|WBBBWBB |WWBW WWW|BBBWBBBW|WBWWWBBB|BWBBWBWW,(3,5)],0.99726
[WBBWWBBW|BWWB WWW|BBB  BBB|WWWBBWWB|BWBBBWBB|BBWWW B | WWBW WW|WBWWBWWB,(7,3)],0.99697
[ WWW  B |   B  W |B     W |  W     |BBW   W | B      |B   B   |W   W B ,(0,2)],-0.0076162494
[BBWBB WW|WWBBWWBW|BBWWBBWW|WWB WWBB|BBWWBWWW| BBWWWBB|B BBB WW|B BW WBW,(4,2)],0.99665993
[WB  BB  |W BW W W|BB BWW B|W WW  BB|B BWW BB|WWWB  WW|W W BBWB|B BBW WB,(2,7)],0.99636495
[W B B  B|W WWWBWW| W BWB  | BW   B | WB WW B|B  W    | WBBWBBW|BB BW   ,(6,2)],0.955305
[       B| WW     |W BBB   |W   W  B|W       |        | W      |   B    ,(2,0)],0.82474774
[ BBWWB  |WW BWWW |WB W B B|W  WB   |BB WBWW |WBWB B  |W WB  WB|WB W BBB,(5,0)],0.99591506
[BWW B BW|WWWBWBBW|W W    B| B BB   |B  W B W| W  B WW|B    B  |WW BB   ,(1,6)],0.744106
[ B BWWWB|BB WBW W|BWWB BBB| BWWWBWW|BWB    B|BBW WWBW|WWWBWWWB|W BBBWBB,(2,3)],0.9967
[  B  WB | W W  B | B WWW  |   B W  | BBW    |    W   |W B     |     B  ,(6,0)],-0.024561245
[  W     | BBW    |W W   WW|W B  B  | B B  BW|   W BW |W W     |BB  B B ,(7,6)],0.37649626
[        |    B   |        |        |        |        |     W  | W   B  ,(1,4)],0.050721873
[ B  W   |        |W B   BW|  B   WB|W   B  B|  W    W|  BWW   |    B  W,(6,3)],0.25072256
[BBWW WWB|WWWBBWWW|WBBB BBW|BWBWBWBB|WWBBWBBW|WBWBWWWB|WBWBBWBW|BWBWBWBB,(2,5)],0.9982699
[BWBWBWBB|BBBWWBWB| WBB BBW|WW  WBBW|W BBW WB|BWBWBWWW|WBBB WBW| WWBW WW,(1,6)],0.9967801
[    WB  |       B|W    B  |     B  |  WWW B | B   W  |      B |   W WB ,(0,5)],0.78813416
[BW WB W | WWB   B|W       |B W BB W| BB  B  |   B WBB|W W WW W|BBWW  B ,(3,0)],0.96022
[   WBB  |  BW WBW| BW W   |  B   B |WBW BW  |WW  WWWB| BBBWBB |WWWBBBW ,(5,5)],0.9956401
[WBWBWWBB|   W B W| BBWB BW|BWWWBWBB|WBBBWB B|W W BW  |WB WW BW| W BBWWB,(0,6)],0.995945
[BBWBBWWB|BWBWBBBW|WBBWW WW|WBWBWBWW|BWWWBWBB|BB BBWBW|WBWBWBBW|WBBWWBWW,(1,6)],0.99827003
[ BW WWWB|B B WWBW|   W  BW|W  BB WB| WBBW BB|WW  BWBW|BWWBBW B|B  W B W,(3,0)],0.99643004
[BWWBWWB | BWBWBWB|BWWBBWWB|WW WWWBW|BWWBBBWW|WBBB WBB|BB WBWBW|W B WWBB,(5,0)],0.9965501
[WB B    | W   W  | B     B|    W B | W    W | W    B |W BWW   |B     BB,(0,1)],0.30630252
[        |        |        |        |       W|        | B      |        ,(6,1)],0.08376065
[       W|   BBB  |       W| W BBW  | WBBW B |BW  BW W|W W   B |    WWB ,(3,5)],0.99326
[BWBBWBBW| WBWWBBW|WWWBBBWB|BBWW WWW|WBB BBWB|BWWBBB W|WWWBWWWB|BBWBWBWB,(7,0)],0.99723995
[BWWBWBBB|WBWWBWBB|BWBBWWBW|WW WWBWB|BWBWWWBW|W BBB B |WWBBWBWB|W WWBWBB,(4,5)],0.99710494
[BB WBWB |BB W WWB|WWWBWW B|WBB B  W|W WBBWWB|B BBW  B| WWWBBW |WBB WWWB,(4,6)],0.99661
[W BBWBW |B BWW WW|BB  BB  |WWWB BBB|  WWB W |B  B BW |WB BWWWB|W B  W W,(6,7)],0.9963501
[ BB   W |B WWBB B|W    W  |WBW  WW |W  W  BB|   W    |  BBB   |W  B  W ,(5,3)],0.9225376
[ B     B|B B  B W|WBB   W |BW WWWB |B WW BB | BWB   B|W   B BW|WWW BWWW,(0,1)],0.9952899
[BBBWWBBW|BWWBBWBW|W BBWWWB| WWBBBWB|BBBWB WW|BW WBWBB|WBWWWBBW|WWB WWWB,(7,0)],0.9470975
[  W  BBB| WW  WB |B  WW  W|  WWB   |WB WBWB |WW BW B |  W WB B|BBB    B,(1,6)],0.99449
[ BBB BWB|WWWBWW  | BW B BW|BWWBBWB |   BW WW|B   WBWB|WBBB W  |WW W WB ,(3,2)],0.99596006
[BWWWBB W|BWWBWWBB|WBBWBWBW|B WWBWBW|W BWW WB|W WBBBWW|BBWWWBBB|BBBWBWWB,(7,3)],0.996905
[ BBB    |  W  WW |    WB  |      WB|        |   W    | W WB  W|   B B  ,(2,4)],0.6440662
[WW   W  | B  W B |BW  B   |B  WB WW| W  WBBB|  W   WW|W  WBBWB|   BBB  ,(6,0)],0.9168075
[ BW     |        |     B  | W B W  | B W  W |      B |B W    B|W       ,(6,0)],0.21080339
[WBWWBWBB|BWWBWWWB|BWWW WB |B   B BB| BBWW WW|WWBWBBB |B   WWWB|BBBWBWWB,(4,2)],0.9966651
[BBWBBBWB|BWB BW W|WWWBWWBW|BBWBWBWB|WBWBWBWW|WWBWBWBW|BWBWWWBW|BBWBBBWB,(3,0)],0.0
[        |  W     |   W    |    B   |        |        | W B    |        ,(6,1)],0.09450434
[BW BBW B|WWBBWBW |W   BBWB|BBBWBBWW|WWW  W W|WBBBWBW |BWWBBBWW|W  BWWBB,(1,5)],0.99664
[BB BW W |W BWBWBB|BBWWB WW|WBWBWBWB|WWBWWB B|BWB WW W|BWWBBBWW|BBW WWBB,(6,2)],0.996785
[    B   |WWW WW W| WB   WB|   B W W|WB    B |B WB WB |B    BB |B W     ,(1,2)],0.8845643
[BWWWB  B| WBWWW W|W  W   B|W  B BB |BB B WBB| WWW BB |   BWBWB|B  W WWB,(5,6)],0.99628496
[BWBWBWWB|BWWBW  B|BB  WBWW|W W W WW|BWBWB W |WBBW BBB|B BBWW B|BWWWB BW,(4,1)],0.99642
[WBBBWBWB|WBW BWW |BWWBB  B|BB  BWWW|WW WW BW|BWW  WBB|WWBWWBBW|BBBWBBWB,(0,1)],0.99622506
[       B|    W BB|        |  WW  W |  W WW  |        |      BB|B  B    ,(7,3)],0.65215236
[BWWBWB W|WW BWWW |B W W BB| BB   BW|WBBB WW |B W WBBB|B  BWW B|  B  WWW,(6,4)],0.99634
[WWWB  W |   B W  |  W    W|WBW     |    W W |B B BBW |WBBW BB | B WWBBB,(6,0)],0.929159
[B  BW  W|B    B  |BB  W   |W B   BW|   W    |  WW  W |  W   W |WBB B BW,(6,2)],0.63353294
[ W B W W|BBW     |    W  B| WB B B | W  WW  |B  WB   |  BB   B|W W    W,(7,0)],0.30090123
[ WBBB  W| BWB  WW|BWWW  WW|B    B B|  WW WBW|WBB  WBW|WB B WWB|  B   BB,(1,2)],0.996325
[      WB|    W W |   BWBB | WB W   | BW  W  |     BB | B   B  |  W W  W,(3,4)],0.63224447
[B WBBB B|WBBBWWBB|W W WW B|B  WBB W|WBB WBB |WWWBW   | WWW W B|BW BW BW,(0,7)],0.99651015
[BBW WWWB| WBWWBWW|BBB BWWB|W WW BBB|BWWBBWBW|WB BBWBW|WB WBWWB|WBBBWBWW,(5,5)],0.99692506
[  WW    |   W    |     W  |  B     |        |   B    |    B   |     B  ,(3,2)],0.12958401
[WB  BW  |WWWBW B |WBBB  B |  BB W  |     WB |WBW BWW |B      W| W WBB  ,(2,6)],0.9701625
[BBBW BWB|B WWBWB |WBBBWWBB|WB  BBWB|WWBB WW |BWWBWWB |W BBWWWB|WWW WBBW,(0,7)],0.99672496
[ WB   W |      B |  W     |  W B   | B      |        |  W     |   BBW  ,(4,1)],0.12982626
[  B    W|      B |        | W     B|        |   WW   |  W  B  |WBB    W,(7,0)],-0.0048143757
[ W BW   |   BBWWW|BWW WWWB| B B W  | BWW BBB|BB W  W |B W B  B|BWBBW W ,(4,7)],0.9959849
[ WBWBW  | W  WB  |B  WWB B|    B   | B      |WBW   B | BW WW  |W BW B  ,(0,5)],0.8725451
[ WBWBWWB|BWBWW BB|WBWBBBWW|BWWW   B|B WBB WB|WWB WW W|B WBWBBW|BBW BW B,(3,7)],0.9964201
[      WB| W  BW  |WB W B  |W  WBWW |BB      |W B BWB | B    WW|B BBW BW,(2,5)],0.9276209
[BBWBWWBB|BWWBBWWW|WWB BWW | WWB B B|WBBBWWWB|BWB BWBW|WBWWBBWB|WBW  BWB,(1,4)],0.9966399
[W   B B | B W   W|W  W B  |WWW     |W       | BWB    |     B W| B   B B,(2,3)],-0.02064
[BB WW BW|W    BW |BB WWBBB|WBW B BW|WBWWB BB|WWBBB   |BB BWBWW|WWBWWW W,(2,1)],0.996465
[  WBWW  |W  BW W |    WBWW|B     B | WB BW W| B BBBW |B W   WB|    BB  ,(2,5)],0.67912847
[ B   WW |        |  BB    |    WW  |        |   W B B|   B    | W  WB  ,(0,1)],0.22352812
[W       |        |       B|        | B     W|        |      W |   B    ,(2,7)],0.0392075
[   W W B|    B   |    W BW| WBB WB |  BB B W|    B WW|B  W    |B   WW W,(5,7)],0.995245
[B   WW  |   BWB  |  W    B|   WW   | WB W   |B  BB B | W   W  |  BW  BW,(3,4)],0.5489439
[W  WBBWB|W B WBWB|B  BW B |WW   B W|W   W B |BBW  W W|B BW WW |B BW BB ,(6,0)],0.96257514
[BBBWB BW|BWBB  BW| WB WWBW|  WWW WB|  WB B  |B  WB  W|BWBWBBWB| WBW WW ,(0,6)],0.99604493
[W  BBWWB| WWBBW B|BW B B W|B W    B| WW WWBW|WB BBWWB| B WBBBW|W W B WB,(5,7)],0.99591506
[B B WW W|WWB  B  |BB W  BW|B   WWW | W W  B |W BBW   | BWBBBWB|     WB ,(0,0)],0.9135438
[    B   |WBW   B |     BB | WW W   |  WB   W| W  B B |  W   B | B     W,(5,4)],0.63347137
[  BBWBBB|BBWBWW W|B B   WB|WW WB  B|WW WBB  |  WWBW W|WWW W  W| BB BBBW,(7,7)],0.99641496
[ W W W  |B W W WB|   BB   |WBWBBB  |WBW   B |  BB  WW|BB W W B|B BW WW ,(4,6)],0.99555504
[WBBBWWBW| BBWB BW|BWW BBWW|WB WBBWB|W WWWBWB|BWBBB BW|BBBWBWWW|B WWBWWW,(7,3)],0.99682
[W BB  WB|BW  BBW |W  B WW |B  W  B |BW WBWB |WWBB B W|WBWBB W |BBWWW W ,(4,5)],0.9695648
[    W   |   B    |      W |   W    |        |BB W    |BB    W |        ,(6,1)],0.19590001
[WB B   B|WBWW BBB| B WWWBW|W B W   |W B BBB |WWB BBWW|BWW  BWB|WWB  WBW,(0,7)],0.996465
[      B |        | W   B  |        |   W    |     W  |  B B   |   W    ,(6,2)],0.18014
[ B W   B| WB W WB| B     B|  W     |  W  W  | W WW   |B B  BB | B  BWW ,(2,7)],0.73587644
[WW  WB B|WWWB WBW|W BBBWBB|BB W WWW|WWBWBB B|W W BWBW|W BB BBW|BB BWBWW,(3,6)],0.99528515
[WBWWWBBW|WBWBWB B|WWBBWWBB|BBWWB  B|WWBB  WW|WBBWB WW|BWW W BB|BWWBBWBB,(3,1)],0.996395
[ BWBWB W|WBWWBBW |WW BWBWB|BBWWB WB|WWW WWBW|W BWBWW |WBBW BB |BBBWBBB ,(3,3)],0.99655503
[WBW WBBB|WW    WW| WBW BWB| WBBW   |W    B B|BWW WB  |  B WWBW|BWBBB BW,(2,6)],0.995865
[B WWW BB| BWWWBWW|BWBBB WB|BBBWWWBW|WW WB BW|BBBWBWWB|WBWBBWBB|WBBW WW ,(2,4)],0.9968699
[ WWBW  W|  WW BW |W BBBWB | BW   W |BB      | WBBWBWB| B    W |B B  W  ,(3,1)],0.97017765
[  W     |       W|  B  B B|    B   |        |   W    |   B    |W W     ,(6,3)],-0.0058799996
[        |     B W|  W WB  |WB      | WWBB   |    W  W|  B    W|BB  BW  ,(5,4)],0.64329755
[B BW  BB| B WWW B|BB    B |W  BW  W|WW BBWWW|W B B WW| WBB  W | BWWWB B,(4,6)],0.97017
[BB  B W |BB  B   |B WWWB W| W  W   |WBBW WWB| WWBWW  |BBBWBWWW| BB   BW,(4,6)],0.99641514
[W    WW |W    W  |  B B  W|        |      B |   B    | B      |       B,(2,2)],0.093131244
[BWBWBWWW|BWBB BWB|WBBBWBW |BWWWBWB |WWBBBWWW|BBWWWBWB|WWBBBWBW|B BBBWWW,(1,5)],-0.24316752
[B W WBW |W  W BWW|  WB WB |B   W  W|B W B   |WB BBW B|WB  W  B|BBBW    ,(5,4)],0.99382496
[    W  B|  W     |W B B   |        | BW  B  |B    W  | B W   W|  W   BW,(4,2)],0.222295
[WWWBBWBB|BW BBBWB|BBWWWBWB|W BBBWWW|WWBWWBBW|W BBBWWB|BWWWBBWW|B WBBWWB,(3,4)],-0.24934998
[        |  W     |B       |        |        |        |       B|     W  ,(6,7)],0.10993002
[  BWBB  | W     B|B  W  B |     B  |   B    | W   WWB| B  WW  |  W WB W,(6,1)],0.65912616
[BWB BBB |  WBBBWB|B WW WWW|BWB   WW|  W WW B|BWB BWBW|W BWWBBB|WWBB WW ,(3,6)],0.99652016
[W B WB B|WWBBBWWW|WBBW BBW|  WB   B|WB  WWBW|WWBBB BW|BBB  WBB|WWBWW W ,(6,7)],0.9963249
[W BWB B |WBW    B| WW W WW|B WWWB W|BWB  WWB|WWB WBBB|BWWBBWBB|BBW BBBW,(6,4)],0.99543506
[       B|W W   BW|W   B W | B      |W    WB |      WB|  W WB  |     BB ,(1,7)],0.6375501
[W  W    |BB   BWB|  BWWWB |BWB  W B| B WB  W|BW WB W |WB    B | W  WB W,(5,1)],0.95825374
[ W B   B| B   W B| WW BB W|   W   W|BB    B |B  W  WW|  W    B|BWWB  WB,(7,3)],0.8430689
[  W  W  |        |   W    |  B     |    B   |      W | B  W   |   B    ,(0,2)],0.09400626
[B WB  B |W   B WW|W   W   |W    W  | B    BB|BWB   BW|  W B BW| W WB  B,(6,4)],0.90263337
[WBW   B |WBBBWW W|BB BBBW |W WBW  W| WW BW W|   B  BW|WB B  BB|BWW  WWB,(4,1)],0.99557495
[B B W  W|BBWW WBB|W  BBW W|WBWWW   |B  BB BW|WBB BWWB|  WW    |BWBBWWWB,(3,0)],0.99606496
[        |       B|  B  WWB|        |  W     |        |        |        ,(2,7)],0.14592877
[      W |WW   BW |B      B|B     B |    W   | B  WB  |    WW  |W    B  ,(6,4)],-0.01697
[ B WBWWW|WBWWBB W|BWWBWBWB| BWWW BB|BBB BWWW|BWWWBBBW|B WBWBBB| WWBBWBW,(2,3)],0.9968298
[B  W W W|BB BB B |WB W B  |   WB WW| W   BW |   W  B |       W| B     W,(0,5)],0.87951887
[    B B |  WWW BW|  WBB   | BWW  W |W  BB   | B  W   |  WBW   |   BW  B,(4,0)],0.6274139
[WWWBWWWB|WBBBWBBW|BWWB WWB|WBBWBBBW|BWB WWBW|WBBWB  B|WW BBBWW|BWBBBWWW,(2,6)],0.9971201
[WBBBWWWB|BW BWBBB|BBWWBWBW|WWBBBWWB|WBWWWBWB|WBWBWBBW|BBWWBBWW|BWBWWWBW,(7,3)],0.0
[BW WBWWW|B WWBBWB|W   W   |  WBWBWW|W W WB B|B BBBWBW|WBBWB B | WB WBBB,(4,7)],0.996175
[  B   WB|W BWW   |  W BW B| BBW    | BWB   W|WBWWBWW |  W  WB |B BB  BW,(4,2)],0.98827
[B  WB BB|  W     |WB  WW  |   WW   | B B   B|BW  BW  | WBBBW  |     W W,(0,6)],0.9324651
[ BBWB  B|  W BWWW|  W  BBW|BW BW WW|B B WWW |W WWBW  |WBB BBWB|B BWWBBB,(7,2)],0.99354494
[WW  W WW| WW BB B|   B  B |      W |B    W  | B  BB W| W  BB W| W BBB W,(4,0)],0.91875756
[ WW B W |B B  W  |  WB BBB|B  W  WW|W WWWBBB|BBW  B W|BW W B W|BW  BW B,(1,0)],0.99601495
[BWBB WWB|WBB B W |WB  BBBW|WWBW W  | WBWBB W| B BWBWW|BW WWBW |BBWWBWWB,(2,7)],0.99662
[BWBWBB  |WBWBBWBW|WBWWW W | BB BBBW|W WW BB |BWBW  WW|WBBWWBWB|BBWB   W,(6,5)],0.9961149
[BBWWB BW| BBWWBW |BBW BBB |B  WWB W|W  BWWBB|  BWB  W|WWB   WW|WW BWBBW,(0,6)],0.9964501
[ WW     |BW BWBBB|W BBB   |BBWB BB |   W B W|WW W W B| WWBB  W|B   WWW ,(6,3)],0.99627495
[BW WBWWB|B B  B W|BBWW W W|W B BBWB|WB WW BB|BWB  WWW|B W WBBB|W B WW B,(2,1)],0.99156487
[ BB WBWW|WBBWBB W|W   WW W|  B BWWB|WBBB W B|B WW BB |WW WBWBW|W B BWBB,(4,2)],0.99642503
[W B  BBW|BB W  BW| B WBBW |BBWW B B|WW BWW B|  W   WB| BWBWWB |  W  BWW,(6,6)],0.996385
[BWWBWB W|WBBBWWBW|WBWBBBWW|WWBWWBBB|BBWB BWB|WBW WWWB|WBBWBBBW|W W BWBW,(2,7)],0.997025
[W       |W   B   |BW  W   |        |B BWBWBW|        |B  W    |BW  B   ,(4,6)],0.726705
[BWBBB WB| BBWW WB|WW WWW W|WWBWBWBB|BBB WW B|B BBWBWB|WB W WWW|WWBBB BW,(6,6)],0.99672
[BWB WWBW|WB  B BB|W  WWBBW|B B W   |BBBWWBWB|W WW WB |WB  B BW|  B WBWW,(7,5)],0.99593514
[WWWBB  W| BW W BB|WBWBWWWB| WBBBW W|WW B    |  B  BWB|B BW  WB|BW BWBW ,(3,1)],0.993485
[    W   |        | B      |   W   W| W    B |   B  W | B      |    B   ,(2,1)],0.14044751
[WWWBWBBW|WB B WWB|W BWWBBW|BWBBWBWB|W  WWBBB|BBWBBWBB|WBWBBWW |WWWBWBWB,(3,2)],0.99699
[WWBB WWB|WB BBWWW|WBWWWBBB|B BBWBWW|WBBWWWBB|WBWWBW W|W B BBWW|B BBWWBB,(0,0)],0.99692
[WWWBBWBW|BBWWBWWW|WBB B BB|B BBWWBW|WW WWBB |WW BWW B|WWBWBBWW|BBWBBWBB,(5,5)],0.996995
[B  W BWW|WWW W  W|BWWB BBB|B BBWBWB|BW BW WW|WBBW W B| W B BBW|WBBW BWB,(2,0)],0.996545
[        |        | W     B|   B    |      W |    WB  |        |        ,(3,3)],0.092390016
[BBWWBWBB|WWWBBW W|WBWB  BB|WWBWWBBB|B BWBWWW|WW WBBBW|BB BWBWB|WWBWWBBW,(7,5)],0.99676
[BBBWWWBW|BBWWBWBB|WB  BBBW|B BBWB W|WBWW WBB|WWBBBWBW|BWWW BWW|BWW WWB ,(4,7)],0.99683
[BWWBBWBB|BBWBWBWB|WWBWBWWB|WWBWBWBW| BBBWWBB|WWWBBB B|WBBW WWW|W BWBBWW,(1,5)],0.99721014
[     W  |     WBW|B  BB   |W BW WBW| W BW B | W BWW B| BB W   |    BW  ,(0,5)],0.6113663
[WWW WBBB| WWB WW |WBB WB W| WWBBWB | W   B W|W  BW WB|BWBBBWB | BW BWBB,(3,1)],0.98295736
[BWWBBWW |BBB  WW |WW  BWWW|W B  B W|BBBWWBWW|WW WBBB |BB BW BB| W BWBW ,(2,5)],0.996565
[W WWWBBB|WWWBWBBW|WBB BBBW| W W WW |WB   WBB|B WBB WW|BWBBB WB| WBWWBWB,(5,2)],0.9965099
[  BWBB W|W WBBB  |BBW   BW|B  WWW W|BB B WBW| BBWW B | WW    W|B  W B W,(2,6)],0.99612
[  W B BB|   B  W |W WW B B|  W  BBW|   WWB  | W    W |   WB   |B BW    ,(4,4)],0.9871551
[ BWB B W|WBBW W  | WW   B |BB W   B|B BWBW B| W  W   | WB  BWB|B WW   W,(6,2)],0.9312663
[WWW WWW |B BBBWBB|B WWW WW|BBWB  WB| BWWBBW |WB WBWBB|BWWBWBWB|WW BWBBB,(2,4)],0.99673
[WW  B WB| B BWWB |B WBWBBW|WBBBWWBW|W B  W B|W W BWW |B  W  BB| WBW B  ,(3,2)],0.99601495
[  WBBB B| W B WWW|W BBW  B| WW BBW | WBBWBWB| WWB WW |BB W BB | WWWBWBB,(3,5)],0.99516505
[   B    |        |        |   W    |        |        |        |        ,(0,3)],0.15874062
[ W     W|  B WWBB|W BWB WW|  B W B | W W    | BW B BW|  B    B|    B   ,(1,6)],0.9106597
[ B  BBB |WBWBWWB |W WBBB B|BWBW  WB|BB BBW W|WWWBWWBW| WB BW B|WWWBWBWW,(1,1)],0.9965402
[BBBW WBW|WW W BWW| BBBWBWW|BWWBBWB |BBW BWBB|WWB  WWB|WWBWW  W| BB  WBB,(3,2)],0.996645
[ WBW    |        |        |        | W  B W | B      |     B W|        ,(6,7)],0.13195498
[B BBWW W| WWWBWWW|WBBWBB  |BBWBB WW|BBW WWBB|WWBBBWWB|BBWWWBWW|BWBWBBWB,(1,1)],0.9968101
[  B     |        |        |    W   |        |        |W B     |        ,(0,2)],0.12966125
[ W     W|WB B  B |    B   | W  WWW |      B | B BW   |     W  |WB     B,(7,0)],-0.01128
[WBWBWBBB|WWWBWWWB|WBBWBBBW|BBBWWWBB|WBBWWB B|BWWBBBWW|WBWWWBWW|WBWBBWWB,(3,3)],0.0
[BB B B W| WB  W B|B WBWBWW|W WW BW |WB   B  |B  BWWBW| BW BB W|W  BWBW ,(4,5)],0.9955899
[        | B      |        |        |        |   W    |    W   |        ,(5,3)],-0.005445
[WWWB   W|B B    W| WBW B  |W B W  W|BWWWB  W|WBB   BB|W WBBBWW|B   WBBB,(2,3)],0.3198122
[WB WW   |B  WW   |      BB|    BWW | BWB  WB|B  W BBW| W B  WW| BW  BB ,(1,0)],0.7147061
[BWWB    |   B    | WWW W  |BB     B|B      B|W   W B |WWW   BB|  BW W  ,(0,2)],0.62208015
[B  W BBW| B   BW |BB BW W |WWWBBB  |W W W B | B WB W | BW     |W BWBW  ,(0,6)],0.994905
[ WWWBWW |BW WWB B|BWWBBBWB|WBBWW WW|BWBBBW B|WWW  WBB| BBBWWB |B WWWBBB,(3,3)],0.9966051
[   B B  |W   B  W|   BW B |BW B  WW|  B W W |  WBB   |W BWB WB|   WB  W,(6,2)],0.8803177
[WWW W WW|WBWWBBB |   B BBW|WBB BW B|W W B   |W BB WW | BWBBWW |WBBWBBWB,(1,3)],0.99651515
[WW  B BB|W   W BB|BB WW BW|BWBWBBWW|WWW  BWB| BBB BWW|BWWWBWB | WBWBB W,(3,5)],0.9962899
[WBBWBBWB|BBWWBWBW|WBWWBWBB|WW BWWWB|BWBWBBBW|BWBWBWWB|WBBBW  W|WBWBBWWW,(2,2)],0.9975699
[WW   W  | BB     | W B B W|   B    |        |        |    B   |WW      ,(2,7)],0.4211875
[  W     |B       |        |      B |    W   |     B  |   W    |W  B    ,(3,6)],0.087864384
[BW WWBWB|BW BB  W|    W BB|B WB BWW|W  B BB |   WWW B| W    W |B BWWBW ,(0,4)],0.9958149
[   WB   |  B     |    BW  |   W  W |        |     B  |        |B  W    ,(2,4)],0.36641753
[  W   B |       B|    W  W|   B  B |B    BWB|W W    W|B  BW   | B W W W,(7,5)],0.6272699
[  W B   |  B W BB|  B   W | W      |W WW    | W   W W|B    B  |B   B   ,(4,2)],-0.016349997
[WW BBWWB|BWBWB BB|WBWW   W|WW  BW W|B WB BBB| BB B BW|BW  WBW | BWWWB W,(1,0)],0.98311347
[WWBWWWBB|BWBWBWWW|BWBBWBBB|WBWBWWWB|BWBBWWBB|WWBWBW W|BBBWBBBW|WWWBWBWB,(7,2)],0.0
[ B W BW |BBW WBB |WW WWB W| WWW   W|    BB W|BBWWB  B|WB WBBB |  BBWW B,(7,2)],0.99613494
[        |        |        |        |        |       W|        |        ,(5,7)],0.030020624
[BWBBWBBW|WWB WWBW|WWBWBWBW|B WWBWW |BBWBW WB|BB BBB W| WBBWBBW| WW BB W,(1,6)],0.99663496
[W       |      B | WB     |        |  W W   |      B |        |       B,(7,7)],0.21741001
[WWBW  W |BBWWBWWB|WW BB BB|BBWBBB W|BBWB WBB|BWWWBBWW|WWB BW W|WWBWBBWW,(4,2)],0.9951951
[ BWWWBB |BW BB  W|B  WB WB|WBWBBWWW|B BB WBW|BWWW  BW|BB  WBWB|WWWBWWBB,(3,1)],0.9965199
[ W      |        |  B     |  W  W B|       B|     B  |     WW | B      ,(3,7)],0.16258067
[        |     W  |        |        |        |        |        |        ,(1,5)],0.008675002
[  B  B  | W BB  W|      WB| B   W  | B      |WW     W|B     W |   W    ,(5,1)],0.12265812
[BWB WW  | BBWBB W|WB BBWWB|BBWW BW |BWWWBWBB|WW W BBW| BW W W |WWB BBB ,(6,1)],0.99651
[WWBWBBWB|W BB WBW|  W BBW | BWB  W |B  W B B|W  BWWBW|W  WW WB|WB BW BB,(1,5)],0.99599504
[BBWBW  W|WB B  B |WW WWBBW|W BBWBWW| W    WW|BB B  B |B  WWWBW| B   BWB,(2,4)],0.99634504
[BWBBW BW|WWBW WBW|B BW BWW|  W WB B|WB WBWBW|WBBWWWBW|    BB B|B WWB BB,(6,4)],0.996405
[WWW   W |BB    B | WWBB   |BB  WW W|   WW BW|WBBB BBB|BW W    | BWB  W ,(4,6)],0.95466757
[W BW    |WWWBBWB |BW BB  B|BBB W WW|WW  BB  | W WB  W|B BB  W |   B W W,(2,4)],0.7627327
[    B   |   B    | W   W  | B BW WW|    B W |     W  |     B  |WBBB W W,(5,5)],0.85197
[WBBW BBW|BW WB WW| WBB BW |WW  B  B| BB BW B|BWW  BW |W B WBB |W  WW BW,(2,3)],0.8063493
